,CMName,CMID,Key_SD5,Name_SD5,Key_SD6,Name_SD6
355,Koro (Nigeria),SM250088,Q84: 15; COUNTRY: 14,Koro,,
356,Koromfe,SM250385,Q84: 197; COUNTRY: 3,Fulse,,
357,Kota-generic,SM250265,,,Q87: 1702; COUNTRY: 10,Kota
358,Kotoko,SM250408,Q84: 1249; COUNTRY: 26,Kotoko,Q87: 1247; COUNTRY: 6,Kotoko
359,Kpelle (Liberia),SM250424,Q84: 388; COUNTRY: 8,Kpelle,Q87: 388; COUNTRY: 15,Kpelle
360,Krahn,SM250808,Q84: 389; COUNTRY: 8,Krahn,Q87: 389; COUNTRY: 15,Krahn
361,Kriole,SM250866,Q84: 930; COUNTRY: 22,Creole,Q87: 930; COUNTRY: 27,Creole
362,Kru-generic,SM462205,Q84: 1261; COUNTRY: 27,Krou,Q87: 1261; COUNTRY: 8,Krou
363,Kumam,SM250901,Q84: 805; COUNTRY: 18,Kumam,,
364,Kupsabiny,SM250964,Q84: 798; COUNTRY: 18,Sabinyi,Q87: 798; COUNTRY: 34,Sabini
365,Kuria,SM250898,Q84: 319; COUNTRY: 6,Kuria,Q87: 315; COUNTRY: 13,Kuria
366,Kuria,SM250898,Q84: 319; COUNTRY: 6,Kuria,Q87: 752; COUNTRY: 31,Wakurya
367,Kuria,SM250898,Q84: 752; COUNTRY: 17,Kikurya,Q87: 315; COUNTRY: 13,Kuria
368,Kuria,SM250898,Q84: 752; COUNTRY: 17,Kikurya,Q87: 752; COUNTRY: 31,Wakurya
369,Kusaal,SM250903,Q84: 277; COUNTRY: 5,Kusasi,Q87: 269; COUNTRY: 11,Kusasi
370,Kwaya,SM250928,Q84: 2746; COUNTRY: 17,Mkwaya,,
371,Kwena,SM250402,Q84: 141; COUNTRY: 2,Mokwena,Q87: 342; COUNTRY: 14,Mohlakoana/Motebang
372,Kwena,SM250402,Q84: 141; COUNTRY: 2,Mokwena,Q87: 141; COUNTRY: 3,Mokwena
373,Kwena,SM250402,Q84: 141; COUNTRY: 2,Mokwena,Q87: 340; COUNTRY: 14,Mokoena
374,Kwena,SM250402,Q84: 342; COUNTRY: 7,Mohlakoana/Motebang,Q87: 342; COUNTRY: 14,Mohlakoana/Motebang
375,Kwena,SM250402,Q84: 342; COUNTRY: 7,Mohlakoana/Motebang,Q87: 141; COUNTRY: 3,Mokwena
376,Kwena,SM250402,Q84: 342; COUNTRY: 7,Mohlakoana/Motebang,Q87: 340; COUNTRY: 14,Mokoena
377,Kwena,SM250402,Q84: 340; COUNTRY: 7,Mokoena,Q87: 342; COUNTRY: 14,Mohlakoana/Motebang
378,Kwena,SM250402,Q84: 340; COUNTRY: 7,Mokoena,Q87: 141; COUNTRY: 3,Mokwena
379,Kwena,SM250402,Q84: 340; COUNTRY: 7,Mokoena,Q87: 340; COUNTRY: 14,Mokoena
380,Kwere,SM250403,Q84: 744; COUNTRY: 17,Kikwere,Q87: 744; COUNTRY: 31,Wakwere
381,Lala (Zambia),SM255172,Q84: 842; COUNTRY: 19,Lala,Q87: 842; COUNTRY: 35,Lala
382,Lama,SM250904,Q84: 1146; COUNTRY: 24,Lama (Lamba),Q87: 1146; COUNTRY: 32,Lama (Lamba)
383,Lamba,SM250412,Q84: 843; COUNTRY: 19,Lamba,Q87: 843; COUNTRY: 35,Lamba
384,Lambya,SM250413,Q84: 462; COUNTRY: 10,Lambya,Q87: 462; COUNTRY: 17,Lambya
385,Landouma,SM250415,Q84: 1308; COUNTRY: 28,Landouma,,
386,Langi,SM255186,Q84: 797; COUNTRY: 18,Langi,Q87: 797; COUNTRY: 34,Langi
387,Lantang,SM251091,,,Q87: 649; COUNTRY: 24,Lanta
388,Lekholokoe,SM251037,Q84: 351; COUNTRY: 7,Lekholokoe,Q87: 351; COUNTRY: 14,Lekholokoe
389,Lenje,SM250422,Q84: 834; COUNTRY: 19,Lenje,Q87: 834; COUNTRY: 35,Lenje
390,Lesotho-DK,SM251170,,,Q87: 9999; COUNTRY: 14,Don't know
391,Lesotho-Other,SM251172,Q84: 9995; COUNTRY: 7,Others,Q87: 9995; COUNTRY: 14,Other
392,Lesotho-Refused,SM251319,Q84: 9998; COUNTRY: 7,Refused,,
393,Lete,SM250936,Q84: 159; COUNTRY: 2,Molete,Q87: 159; COUNTRY: 3,Molete
394,Liberia-DK,SM251321,Q84: 9999; COUNTRY: 8,Don't know,,
395,Liberia-Missing,SM251173,Q84: -1; COUNTRY: 8,Missing,Q87: -1; COUNTRY: 15,Missing
396,Liberia-Refused to answer,SM251175,,,Q87: 9998; COUNTRY: 15,Refused to answer
397,Liberian,SM251174,,,Q87: 9990; COUNTRY: 15,"National identity only, or 'doesnt think of self in those terms'"
398,Liberian Grebo,SM250266,Q84: 386; COUNTRY: 8,Grebo,Q87: 386; COUNTRY: 15,Grebo
399,Limba (Sierra Leone),SM250433,Q84: 936; COUNTRY: 22,Limba,Q87: 936; COUNTRY: 27,Limba
400,Limbum,SM255247,Q84: 2226; COUNTRY: 26,Wimbum,Q87: 2223; COUNTRY: 6,Wimbum
401,Lobi,SM250435,Q84: 189; COUNTRY: 3,Lobi,Q87: 189; COUNTRY: 4,Lobi
402,Loko,SM250438,Q84: 937; COUNTRY: 22,Loko,Q87: 937; COUNTRY: 27,Loko
403,Lomwe,SM250441,Q84: 17; COUNTRY: 12,Lomwe,Q87: 550; COUNTRY: 21,Lomue
404,Lomwe,SM250441,Q84: 17; COUNTRY: 12,Lomwe,Q87: 466; COUNTRY: 17,Lomwe
405,Lomwe,SM250441,Q84: 17; COUNTRY: 10,Lomwe,Q87: 550; COUNTRY: 21,Lomue
406,Lomwe,SM250441,Q84: 17; COUNTRY: 10,Lomwe,Q87: 466; COUNTRY: 17,Lomwe
407,Lorma,SM250905,Q84: 391; COUNTRY: 8,Lorma,Q87: 391; COUNTRY: 15,Lorma
408,Lozi,SM250443,Q84: 18; COUNTRY: 13,Lozi,Q87: 22; COUNTRY: 35,Lozi
409,Lozi,SM250443,Q84: 18; COUNTRY: 13,Lozi,Q87: 22; COUNTRY: 22,Lozi
410,Lozi,SM250443,Q84: 18; COUNTRY: 19,Lozi,Q87: 22; COUNTRY: 35,Lozi
411,Lozi,SM250443,Q84: 18; COUNTRY: 19,Lozi,Q87: 22; COUNTRY: 22,Lozi
412,Luganda,SM250245,Q84: 780; COUNTRY: 18,Muganda,Q87: 780; COUNTRY: 34,Muganda
413,Lugbara,SM250446,Q84: 790; COUNTRY: 18,Lugbara,Q87: 790; COUNTRY: 34,Lugbara
414,Luguru,SM250447,Q84: 754; COUNTRY: 17,Kiluguru,Q87: 754; COUNTRY: 31,Waluguru
415,Luhya,SM250906,Q84: 302; COUNTRY: 6,Luhya,Q87: 302; COUNTRY: 13,Luhya
416,Lungu,SM250650,Q84: 844; COUNTRY: 19,Lungu,Q87: 844; COUNTRY: 35,Lungu
417,Luo (Tanzania and Kenya),SM250451,Q84: 763; COUNTRY: 17,Mjaluo,Q87: 763; COUNTRY: 31,Wajaluo
418,Luo (Tanzania and Kenya),SM250451,Q84: 763; COUNTRY: 17,Mjaluo,Q87: 301; COUNTRY: 13,Luo
419,Luo (Tanzania and Kenya),SM250451,Q84: 301; COUNTRY: 6,Luo,Q87: 763; COUNTRY: 31,Wajaluo
420,Luo (Tanzania and Kenya),SM250451,Q84: 301; COUNTRY: 6,Luo,Q87: 301; COUNTRY: 13,Luo
421,Luvale,SM250454,Q84: 828; COUNTRY: 19,Luvale,Q87: 828; COUNTRY: 35,Luvale
422,"Maasina Fulfulde (Mali, Ghana)",SM250457,Q84: 514; COUNTRY: 11,Peulh / Fulfude,Q87: 514; COUNTRY: 18,Peulh/Fulfude
423,Mada (Nigeria),SM250460,Q84: 19; COUNTRY: 14,Mada,,
424,Mada Cameroon,SM251094,Q84: 19; COUNTRY: 26,Mada,Q87: 1248; COUNTRY: 6,Mada
425,Madagascar-DK,SM251323,Q84: 9999; COUNTRY: 9,Don't know,,
426,Madagascar-Others,SM251322,Q84: 9995; COUNTRY: 9,Others,,
427,Madi,SM250461,Q84: 791; COUNTRY: 18,Madi,Q87: 791; COUNTRY: 34,Madi
428,Mafa,SM250462,Q84: 1251; COUNTRY: 26,Mafa,Q87: 1249; COUNTRY: 6,Mafa
429,Mahafaly,SM250463,Q84: 431; COUNTRY: 9,Mahafaly,Q87: 431; COUNTRY: 16,Mahafaly
430,Makoa,SM250908,Q84: 438; COUNTRY: 9,Makoa,,
431,Makonde,SM250468,Q84: 547; COUNTRY: 12,Makonde,Q87: 547; COUNTRY: 21,Makonde
432,Makonde,SM250468,Q84: 547; COUNTRY: 12,Makonde,Q87: 747; COUNTRY: 31,Wamakonde
433,Makonde,SM250468,Q84: 747; COUNTRY: 17,Kimakonde,Q87: 547; COUNTRY: 21,Makonde
434,Makonde,SM250468,Q84: 747; COUNTRY: 17,Kimakonde,Q87: 747; COUNTRY: 31,Wamakonde
435,Makua,SM250467,Q84: 540; COUNTRY: 12,Makua,Q87: 766; COUNTRY: 31,Wamakuwa
436,Makua,SM250467,Q84: 540; COUNTRY: 12,Makua,Q87: 540; COUNTRY: 21,Makua
437,Makua,SM250467,Q84: 2745; COUNTRY: 17,Mmakua,Q87: 766; COUNTRY: 31,Wamakuwa
438,Makua,SM250467,Q84: 2745; COUNTRY: 17,Mmakua,Q87: 540; COUNTRY: 21,Makua
439,Malagasy,SM251176,Q84: 9990; COUNTRY: 9,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 16,"National identity only, or 'doesnt think of self in those terms'"
440,Malawi-DK,SM251177,Q84: 9999; COUNTRY: 10,Don't know,Q87: 9999; COUNTRY: 17,Don't know
441,Malawi-Missing,SM251324,Q84: -1; COUNTRY: 10,Missing,,
442,Malawi-Refused to answer,SM251180,,,Q87: 9998; COUNTRY: 17,Refused to answer
443,Malawian,SM251178,Q84: 9990; COUNTRY: 10,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 17,"National identity only, or 'doesnt think of self in those terms'"
444,Malawian Abroad,SM497011,Q84: 883; COUNTRY: 20,Malawian,,
445,Mali-Arab,SM255494,Q84: 4; COUNTRY: 11,Arabe,Q87: 10; COUNTRY: 18,Arabe
446,Mambwe,SM251040,Q84: 833; COUNTRY: 19,Mambwe,Q87: 833; COUNTRY: 35,Mambwe
447,Mampruli,SM250471,Q84: 278; COUNTRY: 5,Mamprusi,Q87: 267; COUNTRY: 11,Mamprusi
448,Mande du Nord,SM251000,Q84: 1262; COUNTRY: 27,Mandé du Nord,Q87: 1262; COUNTRY: 8,Mandé du Nord
449,Mande du Sud,SM251001,Q84: 1263; COUNTRY: 27,Mandé du Sud,Q87: 1263; COUNTRY: 8,Mandé du Sud
450,Mandinka/Bambara,SM251144,Q84: 663; COUNTRY: 15,Mandinka/Bambara,Q87: 663; COUNTRY: 26,Mandika/Bambara
451,Manenkan,SM6023,Q84: 938; COUNTRY: 22,Madingo,Q87: 392; COUNTRY: 15,Mandingo
452,Manenkan,SM6023,Q84: 938; COUNTRY: 22,Madingo,Q87: 23; COUNTRY: 12,Malinké
453,Manenkan,SM6023,Q84: 938; COUNTRY: 22,Madingo,Q87: 938; COUNTRY: 27,Madingo
454,Manenkan,SM6023,Q84: 392; COUNTRY: 8,Mandingo,Q87: 392; COUNTRY: 15,Mandingo
455,Manenkan,SM6023,Q84: 392; COUNTRY: 8,Mandingo,Q87: 23; COUNTRY: 12,Malinké
456,Manenkan,SM6023,Q84: 392; COUNTRY: 8,Mandingo,Q87: 938; COUNTRY: 27,Madingo
457,Manenkan,SM6023,Q84: 20; COUNTRY: 28,Malinké,Q87: 392; COUNTRY: 15,Mandingo
458,Manenkan,SM6023,Q84: 20; COUNTRY: 28,Malinké,Q87: 23; COUNTRY: 12,Malinké
459,Manenkan,SM6023,Q84: 20; COUNTRY: 28,Malinké,Q87: 938; COUNTRY: 27,Madingo
460,Mang'anja,SM251095,Q84: 467; COUNTRY: 10,Mang’anja,Q87: 467; COUNTRY: 17,Mang'anja
461,Manhawa,SM250912,Q84: 559; COUNTRY: 12,Manhawa,,
462,Manjaak,SM250913,Q84: 666; COUNTRY: 15,Manjack,Q87: 666; COUNTRY: 26,Manjack
463,Mankon,SM250914,Q84: 1254; COUNTRY: 26,Mankon,Q87: 1251; COUNTRY: 6,Mankon
464,Mano,SM250915,Q84: 393; COUNTRY: 8,Mano,Q87: 393; COUNTRY: 15,Mano
465,Manyema,SM250899,Q84: 756; COUNTRY: 17,Kimanyema,Q87: 756; COUNTRY: 31,Wamanyema
466,Marati,SM250916,Q84: 904; COUNTRY: 21,Marathi,Q87: 904; COUNTRY: 19,Marathi
467,Marenje,SM250917,Q84: 552; COUNTRY: 12,Marenge,,
468,Masaba,SM250485,Q84: 784; COUNTRY: 18,Mugishu,Q87: 784; COUNTRY: 34,Mugishu
469,Masai-Samburu,SM7429,Q84: 307; COUNTRY: 6,Maasai / Samburu,Q87: 307; COUNTRY: 13,Maasai/Samburu
470,Masai-Tanzania,SM250486,Q84: 750; COUNTRY: 17,Kimasai,Q87: 750; COUNTRY: 31,Wamasai
471,Massa,SM250487,Q84: 1255; COUNTRY: 26,Massa,Q87: 1252; COUNTRY: 6,Massa
472,Matengo,SM250490,,,Q87: 767; COUNTRY: 31,Wamatengo
473,Maungwe,SM251043,Q84: 873; COUNTRY: 20,Maungwe,Q87: 872; COUNTRY: 36,Maungwe
474,Mauritian,SM251182,Q84: 9990; COUNTRY: 21,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 19,"National identity only, or 'doesnt think of self in those terms'"
475,Mauritius-Black Creoles,SM250840,Q84: 900; COUNTRY: 21,Afro-Mauritian (Creole),Q87: 900; COUNTRY: 19,Afro-Mauritian (Creole)
476,Mauritius-DK,SM251325,Q84: 9999; COUNTRY: 21,Don't know,,
477,Mauritius-Muslims,SM250949,Q84: 905; COUNTRY: 21,Muslim,Q87: 905; COUNTRY: 19,Muslim
478,Mauritius-Refused to answer,SM251183,Q84: 9998; COUNTRY: 21,Refused,Q87: 9998; COUNTRY: 19,Refused to answer
479,Mbam,SM250919,Q84: 1256; COUNTRY: 26,Mbamois,Q87: 1253; COUNTRY: 6,Mbamois
480,Mbede-Teke,SM7434,,,Q87: 1703; COUNTRY: 10,Mbédè
481,Mbeere,SM250920,Q84: 318; COUNTRY: 6,Mbeere,,
482,Mbo (Cameroon),SM250921,Q84: 1257; COUNTRY: 26,Mbo,Q87: 1254; COUNTRY: 6,Mbo
483,Mboum,SM250504,Q84: 1258; COUNTRY: 26,Mboum,Q87: 1255; COUNTRY: 6,Mboum
484,Mbukushu,SM250502,Q84: 158; COUNTRY: 2,Mombukushu,Q87: 158; COUNTRY: 3,Mombukushu
485,Mbunda,SM250506,Q84: 840; COUNTRY: 19,Mbunda,Q87: 840; COUNTRY: 35,Mbunda
486,Meka,SM250465,Q84: 1252; COUNTRY: 26,Maka,Q87: 1250; COUNTRY: 6,Maka
487,Mende,SM250511,Q84: 22; COUNTRY: 22,Mende,Q87: 24; COUNTRY: 27,Mende
488,Mende,SM250511,Q84: 22; COUNTRY: 22,Mende,Q87: 24; COUNTRY: 15,Mende
489,Mende,SM250511,Q84: 22; COUNTRY: 8,Mende,Q87: 24; COUNTRY: 27,Mende
490,Mende,SM250511,Q84: 22; COUNTRY: 8,Mende,Q87: 24; COUNTRY: 15,Mende
491,Merina,SM250512,Q84: 432; COUNTRY: 9,Merina,Q87: 432; COUNTRY: 16,Merina
492,Meru (Tanzania),SM250900,Q84: 751; COUNTRY: 17,Kimeru,Q87: 751; COUNTRY: 31,Wameru
493,Meru/Embu,SM258822,Q84: 306; COUNTRY: 6,Meru / Embu,Q87: 306; COUNTRY: 13,Meru/Embu
494,Mianka,SM250469,Q84: 513; COUNTRY: 11,Mianka,Q87: 513; COUNTRY: 18,Mainka
495,Migili,SM250924,Q84: 658; COUNTRY: 14,Migili,,
496,Mijikenda,SM255777,Q84: 308; COUNTRY: 6,Mijikenda,Q87: 308; COUNTRY: 13,Mijikenda
497,Mina,SM250884,Q84: 1247; COUNTRY: 26,Hina,Q87: 1244; COUNTRY: 6,Hina
498,Mixed Race-Zimbabwe,SM250926,Q84: 878; COUNTRY: 20,Mixed race,,
499,Mokubung,SM251052,Q84: 353; COUNTRY: 7,Mokubung,Q87: 353; COUNTRY: 14,Mokubung
500,Moroccan,SM251185,,,Q87: 9990; COUNTRY: 20,"National identity only, or 'doesnt think of self in those terms'"
501,Morocco-Arab,SM251084,,,Q87: 9; COUNTRY: 20,Arab
502,Morocco-DK,SM251184,,,Q87: 9999; COUNTRY: 20,Don't know
503,Morocco-Other,SM251186,,,Q87: 9995; COUNTRY: 20,Other
504,Morocco-Refused to answer,SM251187,,,Q87: 9998; COUNTRY: 20,Refused to answer
505,Mosiea,SM251055,Q84: 344; COUNTRY: 7,Mosiea,Q87: 344; COUNTRY: 14,Mosiea
506,Mossi,SM251056,Q84: 180; COUNTRY: 3,Mossi,Q87: 180; COUNTRY: 4,Mossi
507,Mossi,SM251056,Q84: 180; COUNTRY: 3,Mossi,Q87: 266; COUNTRY: 11,Moshie
508,Mossi,SM251056,Q84: 267; COUNTRY: 5,Mosi,Q87: 180; COUNTRY: 4,Mossi
509,Mossi,SM251056,Q84: 267; COUNTRY: 5,Mosi,Q87: 266; COUNTRY: 11,Moshie
510,Motloung,SM251058,Q84: 346; COUNTRY: 7,Motloung,Q87: 346; COUNTRY: 14,Motloung
511,Motsoeneng,SM251059,Q84: 345; COUNTRY: 7,Motsoeneng,Q87: 345; COUNTRY: 14,Motsoeneng
512,Moundang,SM255921,Q84: 1259; COUNTRY: 26,Moudang,Q87: 1256; COUNTRY: 6,Moudan
513,Mousgoum,SM250536,Q84: 2220; COUNTRY: 26,Mousgoum,Q87: 1257; COUNTRY: 6,Mousgoum
514,Mozambican,SM251189,Q84: 9990; COUNTRY: 12,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 21,"National identity only, or 'doesnt think of self in those terms'"
515,Mozambique-DK,SM251188,Q84: 9999; COUNTRY: 12,Don't know,Q87: 9999; COUNTRY: 21,Don't know
516,Mozambique-Missing,SM251326,Q84: -1; COUNTRY: 12,Missing,,
517,Mozambique-Refused to answer,SM251191,Q84: 9998; COUNTRY: 12,Refused,Q87: 9998; COUNTRY: 21,Refused to answer
518,Mulamogi,SM251061,Q84: 807; COUNTRY: 18,Mulamogi,,
519,Mumuye,SM250592,,,Q87: 650; COUNTRY: 24,Mumuye
520,Mwagavol,SM256028,,,Q87: 651; COUNTRY: 24,Nwangavul
521,Mwera-Inland,SM250538,Q84: 767; COUNTRY: 17,Mmwera,Q87: 769; COUNTRY: 31,Wamwera
522,Myene,SM251096,,,Q87: 1705; COUNTRY: 10,Myénè
523,Mzab (Algeria),SM250776,,,Q87: 1423; COUNTRY: 1,Mouzabit
524,Nama,SM250543,Q84: 588; COUNTRY: 13,Nama,Q87: 588; COUNTRY: 22,Nama
525,Nama,SM250543,Q84: 163; COUNTRY: 2,Mokgothu,Q87: 588; COUNTRY: 22,Nama
526,Nambya,SM250950,Q84: 872; COUNTRY: 20,Nambya,,
527,Namibia-Colored,SM250864,Q84: 7; COUNTRY: 13,Coloured,Q87: 14; COUNTRY: 22,Coloured
528,Namibia-English-speaking,SM250872,Q84: 9; COUNTRY: 13,English,Q87: 1; COUNTRY: 22,English
529,Namibian,SM251192,Q84: 9990; COUNTRY: 13,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 22,"National identity only, or 'doesnt think of self in those terms'"
530,Namwanga,SM250609,Q84: 2754; COUNTRY: 17,Mnyamwanga,Q87: 829; COUNTRY: 35,Namwanga
531,Namwanga,SM250609,Q84: 829; COUNTRY: 19,Namwanga,Q87: 829; COUNTRY: 35,Namwanga
532,Nandom,SM250951,Q84: 276; COUNTRY: 5,Nandom,,
533,Nateni,SM250952,Q84: 110; COUNTRY: 1,Natimba,,
534,Nawdm,SM250547,Q84: 1145; COUNTRY: 24,Nawdem (Losso),Q87: 1145; COUNTRY: 32,Nawdem (Losso)
535,Ndali,SM250930,Q84: 768; COUNTRY: 17,Mndali,Q87: 770; COUNTRY: 31,Wandali
536,Ndali,SM250930,Q84: 472; COUNTRY: 10,Ndali,Q87: 770; COUNTRY: 31,Wandali
537,Ndamba,SM250548,,,Q87: 771; COUNTRY: 31,Wandamba
538,Ndau,SM250549,Q84: 23; COUNTRY: 20,Ndau,Q87: 25; COUNTRY: 21,Ndau
539,Ndau,SM250549,Q84: 23; COUNTRY: 20,Ndau,Q87: 25; COUNTRY: 36,Ndau
540,Ndau,SM250549,Q84: 23; COUNTRY: 12,Ndau,Q87: 25; COUNTRY: 21,Ndau
541,Ndau,SM250549,Q84: 23; COUNTRY: 12,Ndau,Q87: 25; COUNTRY: 36,Ndau
542,Ndebele North,SM250584,Q84: 24; COUNTRY: 20,Ndebele,Q87: 26; COUNTRY: 36,Ndebele
543,Ndebele South,SM251093,Q84: 24; COUNTRY: 24,Ndebele,Q87: 26; COUNTRY: 28,Ndebele
544,Ndebele South,SM251093,Q84: 24; COUNTRY: 24,Ndebele,Q87: 350; COUNTRY: 14,Letebele
545,Ndebele South,SM251093,Q84: 350; COUNTRY: 7,Letebele,Q87: 26; COUNTRY: 28,Ndebele
546,Ndebele South,SM251093,Q84: 350; COUNTRY: 7,Letebele,Q87: 350; COUNTRY: 14,Letebele
547,Ndebele South,SM251093,Q84: 24; COUNTRY: 16,Ndebele,Q87: 26; COUNTRY: 28,Ndebele
548,Ndebele South,SM251093,Q84: 24; COUNTRY: 16,Ndebele,Q87: 350; COUNTRY: 14,Letebele
549,Ndendeule,SM250931,Q84: 769; COUNTRY: 17,Mndendeule,Q87: 772; COUNTRY: 31,Wandendeule
550,Ndengereko,SM250932,Q84: 2750; COUNTRY: 17,Mndengereko,Q87: 773; COUNTRY: 31,Wandengereko
551,Ngamgam,SM250954,Q84: 1156; COUNTRY: 24,Ngam-Gam,Q87: 1154; COUNTRY: 32,Ngam-gam
552,Ngindo,SM250560,Q84: 2751; COUNTRY: 17,Mngindo,Q87: 774; COUNTRY: 31,Wangindo
553,Ngologa,SM251053,Q84: 156; COUNTRY: 2,Mongologa,Q87: 156; COUNTRY: 3,Mongologa
554,Ngonde,SM256289,Q84: 461; COUNTRY: 10,Nkhonde,Q87: 461; COUNTRY: 17,Ngonde
555,Ngoni,SM250999,Q84: 465; COUNTRY: 10,Ngoni,Q87: 743; COUNTRY: 31,Wangoni
556,Ngoni,SM250999,Q84: 465; COUNTRY: 10,Ngoni,Q87: 27; COUNTRY: 17,Ngoni
557,Ngoni,SM250999,Q84: 465; COUNTRY: 10,Ngoni,Q87: 27; COUNTRY: 35,Ngoni
558,Ngoni,SM250999,Q84: 25; COUNTRY: 12,Ngoni,Q87: 743; COUNTRY: 31,Wangoni
559,Ngoni,SM250999,Q84: 25; COUNTRY: 12,Ngoni,Q87: 27; COUNTRY: 17,Ngoni
560,Ngoni,SM250999,Q84: 25; COUNTRY: 12,Ngoni,Q87: 27; COUNTRY: 35,Ngoni
561,Ngoni,SM250999,Q84: 743; COUNTRY: 17,Kingoni,Q87: 743; COUNTRY: 31,Wangoni
562,Ngoni,SM250999,Q84: 743; COUNTRY: 17,Kingoni,Q87: 27; COUNTRY: 17,Ngoni
563,Ngoni,SM250999,Q84: 743; COUNTRY: 17,Kingoni,Q87: 27; COUNTRY: 35,Ngoni
564,Ngoni,SM250999,Q84: 25; COUNTRY: 19,Ngoni,Q87: 743; COUNTRY: 31,Wangoni
565,Ngoni,SM250999,Q84: 25; COUNTRY: 19,Ngoni,Q87: 27; COUNTRY: 17,Ngoni
566,Ngoni,SM250999,Q84: 25; COUNTRY: 19,Ngoni,Q87: 27; COUNTRY: 35,Ngoni
567,Ngumbo,SM251066,Q84: 849; COUNTRY: 19,Ngumbo,,
568,Nguu,SM250568,Q84: 2752; COUNTRY: 17,Mnguu,Q87: 775; COUNTRY: 31,Wanguu
569,Ngwaketse,SM250569,Q84: 143; COUNTRY: 2,Mongwaketse,Q87: 143; COUNTRY: 3,Mongwaketse
570,Ngwatu,SM250570,Q84: 142; COUNTRY: 2,Mongwato,Q87: 142; COUNTRY: 3,Mongwato
571,Ngwo,SM250955,Q84: 2221; COUNTRY: 26,Njikwa,,
572,Nhungue,SM251067,Q84: 553; COUNTRY: 12,Nhungue,,
573,Nigeria-DK,SM251195,Q84: 9999; COUNTRY: 14,Don't know,Q87: 9999; COUNTRY: 24,Don't know
574,Nigerian Fulfulde,SM250879,Q84: 625; COUNTRY: 14,Fulani,Q87: 625; COUNTRY: 24,Fulani
575,Nkoya,SM250575,Q84: 832; COUNTRY: 19,Nkoya,Q87: 832; COUNTRY: 35,Nkoya
576,Northern Dagara,SM251026,Q84: 188; COUNTRY: 3,Dagari,Q87: 188; COUNTRY: 4,Dagari
577,Northwest Gbaya,SM454544,Q84: 1227; COUNTRY: 26,Baya,Q87: 1227; COUNTRY: 6,Gbaya
578,Nsenga,SM250589,Q84: 825; COUNTRY: 19,Nsenga,Q87: 825; COUNTRY: 35,Nsenga
579,Nso,SM250414,Q84: 1224; COUNTRY: 26,Nso,Q87: 1224; COUNTRY: 6,Nso
580,Ntcham,SM250591,Q84: 1149; COUNTRY: 24,N’Tcha (Bassar),Q87: 1149; COUNTRY: 32,N'Tcha (Bassar)
581,Ntcham,SM250591,Q84: 1149; COUNTRY: 24,N’Tcha (Bassar),Q87: 278; COUNTRY: 11,Basari
582,Nupe,SM251068,Q84: 630; COUNTRY: 14,Nupe,Q87: 630; COUNTRY: 24,Nupe
583,Nupe,SM251068,Q84: 639; COUNTRY: 14,Tapa,Q87: 630; COUNTRY: 24,Nupe
584,Nyakyusa,SM8843,Q84: 740; COUNTRY: 17,Kinyakyusa,Q87: 740; COUNTRY: 31,Wanyakyusa
585,Nyambo,SM250933,Q84: 770; COUNTRY: 17,Mnyambo,Q87: 776; COUNTRY: 31,Wanyambo
586,Nyamwezi,SM250610,Q84: 748; COUNTRY: 17,Kinyamwezi,Q87: 748; COUNTRY: 31,Wanyamwezi
587,Nyanja,SM250595,Q84: 26; COUNTRY: 12,Nyanja,Q87: 28; COUNTRY: 21,Nyanja
588,Nyanja,SM250595,Q84: 26; COUNTRY: 12,Nyanja,Q87: 28; COUNTRY: 35,Nyanja
589,Nyanja,SM250595,Q84: 26; COUNTRY: 20,Nyanja,Q87: 28; COUNTRY: 21,Nyanja
590,Nyanja,SM250595,Q84: 26; COUNTRY: 20,Nyanja,Q87: 28; COUNTRY: 35,Nyanja
591,Nyanja,SM250595,Q84: 26; COUNTRY: 19,Nyanja,Q87: 28; COUNTRY: 21,Nyanja
592,Nyanja,SM250595,Q84: 26; COUNTRY: 19,Nyanja,Q87: 28; COUNTRY: 35,Nyanja
593,Nyasa,SM250537,Q84: 2759; COUNTRY: 17,Mnyasa,,
594,Nyaturu,SM250614,Q84: 758; COUNTRY: 17,Kinyaturu,Q87: 758; COUNTRY: 31,Wanyaturu
595,Nyiha,SM250934,Q84: 2753; COUNTRY: 17,Mnyiha,Q87: 777; COUNTRY: 31,Wanyiha
596,Nyika Malawi & Zambia,SM251099,,,Q87: 845; COUNTRY: 35,Nyika
597,Nyole,SM250947,Q84: 786; COUNTRY: 18,Munyole,Q87: 786; COUNTRY: 34,Munyole
598,Nzabi-Duma,SM250213,,,Q87: 1704; COUNTRY: 10,Nzébi/Métié
599,Ogoni,SM250957,Q84: 645; COUNTRY: 14,Ogoni,,
600,Okirika,SM250959,Q84: 653; COUNTRY: 14,Okrika,,
601,Okpela,SM250958,Q84: 648; COUNTRY: 14,Okpella,,
602,Oku,SM256448,Q84: 2222; COUNTRY: 26,Oku,Q87: 1259; COUNTRY: 6,Oku
