,CMName,CMID,Key_SD5,Name_SD5,Key_SD6,Name_SD6
818,Vhitori,SM250984,Q84: 870; COUNTRY: 20,Vhitori,,
819,Waci,SM250961,Q84: 1152; COUNTRY: 24,Ouatchi,Q87: 1157; COUNTRY: 32,Ouatchi
820,Waja,SM258501,,,Q87: 654; COUNTRY: 24,Waja
821,Wali,SM250800,Q84: 266; COUNTRY: 5,Waale,Q87: 265; COUNTRY: 11,Waali
822,Wandala,SM258519,Q84: 1253; COUNTRY: 26,Mandara,Q87: 1246; COUNTRY: 6,Mandara
823,Wapemba (Zanzibar),SM250631,Q84: 2758; COUNTRY: 17,Mpemba,,
824,White Moors (Beydan),SM250918,Q84: 21; COUNTRY: 11,Maure,Q87: 668; COUNTRY: 26,Maures
825,White Moors (Beydan),SM250918,Q84: 21; COUNTRY: 11,Maure,Q87: 512; COUNTRY: 18,Maure
826,White Moors (Beydan),SM250918,Q84: 21; COUNTRY: 15,Maure,Q87: 668; COUNTRY: 26,Maures
827,White Moors (Beydan),SM250918,Q84: 21; COUNTRY: 15,Maure,Q87: 512; COUNTRY: 18,Maure
828,Widikum,SM252127,Q84: 1238; COUNTRY: 26,Batibo,Q87: 1238; COUNTRY: 6,Batibo
829,Wolof,SM250812,Q84: 660; COUNTRY: 15,Wolof,Q87: 660; COUNTRY: 26,Wolof
830,Xhosa-speaking people,SM250815,Q84: 703; COUNTRY: 16,Xhosa,Q87: 703; COUNTRY: 28,Xhosa
831,Yakurr,SM250437,Q84: 647; COUNTRY: 14,Yakhor,,
832,Yalunka,SM250817,Q84: 1306; COUNTRY: 28,Djalounké,Q87: 944; COUNTRY: 27,Yalumka
833,Yalunka,SM250817,Q84: 944; COUNTRY: 22,Yalunka,Q87: 944; COUNTRY: 27,Yalumka
834,Yamba,SM250987,Q84: 2227; COUNTRY: 26,Yamba,Q87: 2224; COUNTRY: 6,Yamba
835,Yana,SM251078,Q84: 194; COUNTRY: 3,Yanan,,
836,Yao,SM250820,Q84: 773; COUNTRY: 17,Myao,Q87: 464; COUNTRY: 17,Yao
837,Yao,SM250820,Q84: 773; COUNTRY: 17,Myao,Q87: 2747; COUNTRY: 31,Wayao
838,Yao,SM250820,Q84: 773; COUNTRY: 17,Myao,Q87: 549; COUNTRY: 21,Ajaua
839,Yao,SM250820,Q84: 549; COUNTRY: 12,Ajaua,Q87: 464; COUNTRY: 17,Yao
840,Yao,SM250820,Q84: 549; COUNTRY: 12,Ajaua,Q87: 2747; COUNTRY: 31,Wayao
841,Yao,SM250820,Q84: 549; COUNTRY: 12,Ajaua,Q87: 549; COUNTRY: 21,Ajaua
842,Yao,SM250820,Q84: 464; COUNTRY: 10,Yao,Q87: 464; COUNTRY: 17,Yao
843,Yao,SM250820,Q84: 464; COUNTRY: 10,Yao,Q87: 2747; COUNTRY: 31,Wayao
844,Yao,SM250820,Q84: 464; COUNTRY: 10,Yao,Q87: 549; COUNTRY: 21,Ajaua
845,Yoa-Lokpa,SM251081,Q84: 107; COUNTRY: 1,Yoa,Q87: 107; COUNTRY: 2,Yoa
846,Yoruba,SM250827,Q84: 34; COUNTRY: 24,Yoruba,Q87: 45; COUNTRY: 24,Yoruba
847,Yoruba,SM250827,Q84: 34; COUNTRY: 24,Yoruba,Q87: 45; COUNTRY: 2,Yoruba
848,Yoruba,SM250827,Q84: 34; COUNTRY: 1,Yoruba,Q87: 45; COUNTRY: 24,Yoruba
849,Yoruba,SM250827,Q84: 34; COUNTRY: 1,Yoruba,Q87: 45; COUNTRY: 2,Yoruba
850,Yoruba,SM250827,Q84: 34; COUNTRY: 14,Yoruba,Q87: 45; COUNTRY: 24,Yoruba
851,Yoruba,SM250827,Q84: 34; COUNTRY: 14,Yoruba,Q87: 45; COUNTRY: 2,Yoruba
852,Zafisoro,SM258780,Q84: 441; COUNTRY: 9,Zafisoro,,
853,Zambia-DK,SM251332,Q84: 9999; COUNTRY: 19,Don't know,,
854,Zambia-Missing,SM251217,,,Q87: -1; COUNTRY: 35,Missing
855,Zambia-Refused to answer,SM251220,Q84: 9998; COUNTRY: 19,Refused,Q87: 9998; COUNTRY: 35,Refused to answer
856,Zambian,SM251218,,,Q87: 9990; COUNTRY: 35,"National identity only, or 'doesnt think of self in those terms'"
857,Zaramo,SM250830,Q84: 774; COUNTRY: 17,Mzaramo,Q87: 2749; COUNTRY: 31,Wazaramo
858,Zezeru,SM250834,Q84: 862; COUNTRY: 20,Zezuru,Q87: 862; COUNTRY: 36,Zezuru
859,Zigua,SM250835,Q84: 775; COUNTRY: 17,Mzigua,Q87: 2750; COUNTRY: 31,Wazigua
860,Zimbabwe-DK,SM251221,Q84: 9999; COUNTRY: 20,Don't know,Q87: 9999; COUNTRY: 36,Don't know
861,Zimbabwe-Missing,SM251333,Q84: -1; COUNTRY: 20,Missing,,
862,Zimbabwe-Refused to answer,SM251224,,,Q87: 9998; COUNTRY: 36,Refused to answer
863,Zimbabwean,SM251222,Q84: 9990; COUNTRY: 20,"National identity only, or ""doesn't think of self in those terms""",Q87: 9990; COUNTRY: 36,"National identity only, or 'doesnt think of self in those terms'"
864,Zulu,SM250837,Q84: 710; COUNTRY: 16,Zulu,Q87: 46; COUNTRY: 28,Zulu
865,Zulu,SM250837,Q84: 710; COUNTRY: 16,Zulu,Q87: 46; COUNTRY: 30,Zulu
866,taung,SM251057,Q84: 341; COUNTRY: 7,Motaung,Q87: 341; COUNTRY: 14,Motaung
867,waama,SM250985,Q84: 109; COUNTRY: 1,Waama,,
